Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Citibank N.A., Sucursal El Salvador",7214,Pérdida por deterioro de valor de activos,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7215,Pérdida en venta de activos,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7299,Costos por explotación de activos,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",81,Gastos de administración,Gasto,895.3910400000001
2024-01-01,"Citibank N.A., Sucursal El Salvador",8110,Gastos de funcionarios y empleados,Gasto,498.08699
2024-01-01,"Citibank N.A., Sucursal El Salvador",8120,Gastos generales,Gasto,165.68209
2024-01-01,"Citibank N.A., Sucursal El Salvador",8130,Depreciaciones y amortizaciones,Gasto,64.04785
2024-01-01,"Citibank N.A., Sucursal El Salvador",8140,Provisiones,Gasto,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",8150,Gasto por impuesto sobre las ganancias,Gasto,167.57411
2024-01-01,Banco de Fomento Agropecuario,61,Ingresos financieros,Ingreso,3665.77626
2024-01-01,Banco de Fomento Agropecuario,6110,Ingresos financieros,Ingreso,3665.77626
2024-01-01,Banco de Fomento Agropecuario,6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,0.0
2024-01-01,Banco de Fomento Agropecuario,6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,0.0
2024-01-01,Banco de Fomento Agropecuario,6113,Ganancia por venta de inversiones financieras,Ingreso,0.0
2024-01-01,Banco de Fomento Agropecuario,62,Otros ingresos financieros,Ingreso,171.02231
2024-01-01,Banco de Fomento Agropecuario,6210,Otros ingresos financieros,Ingreso,171.02231
2024-01-01,Banco de Fomento Agropecuario,63,Ingresos de otras operaciones,Ingreso,50.13626
2024-01-01,Banco de Fomento Agropecuario,6310,Ingresos de otras operaciones,Ingreso,50.13626
2024-01-01,Banco de Fomento Agropecuario,71,Costos financieros,Costo,878.15699
2024-01-01,Banco de Fomento Agropecuario,711,Costos financieros,Costo,621.65176
2024-01-01,Banco de Fomento Agropecuario,7110,Costos de pasivos financieros,Costo,621.42214
2024-01-01,Banco de Fomento Agropecuario,7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7112,Pérdidas por deterioro de activos financieros,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7114,Otros costos financieros,Costo,0.22962
2024-01-01,Banco de Fomento Agropecuario,7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,256.50523
2024-01-01,Banco de Fomento Agropecuario,713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,72,Costos de otras operaciones,Costo,111.48287
2024-01-01,Banco de Fomento Agropecuario,7210,Comisiones de otros servicios,Costo,101.37271
2024-01-01,Banco de Fomento Agropecuario,7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7212,Pérdidas por operaciones en moneda extranjera,Costo,10.11016
2024-01-01,Banco de Fomento Agropecuario,7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7214,Pérdida por deterioro de valor de activos,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7215,Pérdida en venta de activos,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,7299,Costos por explotación de activos,Costo,0.0
2024-01-01,Banco de Fomento Agropecuario,81,Gastos de administración,Gasto,2162.59042
2024-01-01,Banco de Fomento Agropecuario,8110,Gastos de funcionarios y empleados,Gasto,1160.93652
2024-01-01,Banco de Fomento Agropecuario,8120,Gastos generales,Gasto,526.61772
2024-01-01,Banco de Fomento Agropecuario,8130,Depreciaciones y amortizaciones,Gasto,267.32771
2024-01-01,Banco de Fomento Agropecuario,8140,Provisiones,Gasto,0.0
2024-01-01,Banco de Fomento Agropecuario,8150,Gasto por impuesto sobre las ganancias,Gasto,207.70847
2024-01-01,"Banco Promérica, S.A.",61,Ingresos financieros,Ingreso,12316.84227
2024-01-01,"Banco Promérica, S.A.",6110,Ingresos financieros,Ingreso,11457.76252
2024-01-01,"Banco Promérica, S.A.",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,0.0
2024-01-01,"Banco Promérica, S.A.",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,859.07975
2024-01-01,"Banco Promérica, S.A.",6113,Ganancia por venta de inversiones financieras,Ingreso,0.0
2024-01-01,"Banco Promérica, S.A.",62,Otros ingresos financieros,Ingreso,860.52271
2024-01-01,"Banco Promérica, S.A.",6210,Otros ingresos financieros,Ingreso,860.52271
2024-01-01,"Banco Promérica, S.A.",63,Ingresos de otras operaciones,Ingreso,152.0256
2024-01-01,"Banco Promérica, S.A.",6310,Ingresos de otras operaciones,Ingreso,152.0256
2024-01-01,"Banco Promérica, S.A.",71,Costos financieros,Costo,7721.990059999999
2024-01-01,"Banco Promérica, S.A.",711,Costos financieros,Costo,4885.2436
2024-01-01,"Banco Promérica, S.A.",7110,Costos de pasivos financieros,Costo,4737.92155
