Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Abril de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
32 Patrimonio restringido,"82,692.09","27,666.77","39,528.42","25,989.37","4,399.19","13,750.94","2,848.72","14,074.20","30,625.52","25,781.20",744.31,"2,456.03",0.00,"9,423.26","279,980.03"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,343.34","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,466.75"
3230 Recuperaciones de activos castigados,0.00,8.59,"1,208.22","2,471.01",0.00,0.00,51.13,228.01,159.50,997.75,0.00,0.00,0.00,41.74,"5,165.96"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"44,160.60",470.97,"14,885.45","4,832.44",31.38,"3,609.03","1,485.80","5,112.68","5,033.86","6,192.63",2.09,99.27,0.00,"4,682.42","90,598.61"
Total patrimonio,"552,114.60","191,302.87","300,153.33","131,546.27","43,472.10","46,870.65","60,515.86","115,734.83","234,450.87","282,977.64","25,175.41","36,954.80","53,093.53","73,219.08","2,147,581.86"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,355,550.07","1,763,604.72","2,902,003.01","1,167,100.94","298,997.40","417,614.63","403,453.04","1,283,406.65","1,988,941.90","2,788,499.30","79,806.85","399,823.72","486,374.25","672,259.56","20,007,436.02"
 ,,,,,,,,,,,,,,,
