Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,218.98",0.00,0.00,0.00,0.00,0.00,"30,218.98"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,218.98",0.00,0.00,0.00,0.00,0.00,"30,218.98"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,218.98",0.00,0.00,0.00,0.00,0.00,"30,218.98"
Total pasivos,"4,661,215.16","3,280,734.70","2,553,864.33","1,520,760.89","165,447.83","412,875.26","348,447.49","1,213,011.01","2,662,610.95","76,579.23","388,053.75","548,021.19","797,675.76","18,629,297.56"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"579,513.46","353,388.56","295,343.92","118,479.35","35,135.00","37,617.86","56,763.50","94,561.45","261,227.48","25,126.70","38,190.57","55,356.68","78,783.39","2,029,487.91"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","25,205.92","51,598.94","70,788.87","161,000.44","20,333.67","30,000.00","80,000.00","75,000.00","1,269,563.98"
3130 Reservas de capital,"178,150.72","90,187.82","109,621.29","28,791.35","3,724.30","2,736.48","3,752.14","15,309.09","40,250.11","3,032.91","1,227.76",117.31,946.82,"477,848.10"
3140 Resultados por aplicar,"103,862.74","58,498.90","35,722.63","16,253.70","1,410.70","9,675.46","1,412.41","8,463.49","59,976.94","1,760.11","6,962.81","-24,760.63","2,836.57","282,075.83"
314001 Resultados de ejercicios anteriores,"-1,826.03","20,100.48","5,186.65",24.70,17.59,"6,261.85",73.01,"3,416.11","44,305.24",0.20,"2,845.77","-26,663.20","-3,545.93","50,196.44"
314002 Resultados del presente ejercicio,"105,688.77","38,398.42","30,535.98","16,229.00","1,393.11","3,413.61","1,339.41","5,047.37","15,671.69","1,759.91","4,117.04","1,902.58","6,382.50","231,879.39"
32 Patrimonio restringido,"107,941.43","69,223.09","38,240.19","36,296.23","4,502.37","13,183.57","3,737.16","32,199.93","33,535.97","2,211.94","4,456.89","1,161.22","11,834.17","358,524.17"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","21,881.24","4,181.07",0.00,"2,410.80","25,895.07","26,940.60","2,211.09","4,350.27",906.64,"6,036.64","222,073.56"
3220 Revaluaciones,"9,850.58","14,158.79","4,368.91","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"43,526.77"
3230 Recuperaciones de activos castigados,0.00,244.46,811.47,"3,495.55",0.00,0.00,39.97,535.49,977.41,0.00,0.00,0.00,41.02,"6,145.38"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"48,476.63","2,061.65","8,172.07","5,957.14",321.30,"3,041.65","1,286.39","5,769.37","5,617.96",0.84,106.62,254.59,"5,679.54","86,745.77"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"687,454.89","422,611.65","333,584.11","154,775.58","39,637.37","50,801.43","60,500.66","126,761.38","294,763.45","27,338.63","42,647.46","56,517.90","90,617.56","2,388,012.08"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,348,670.05","3,703,346.35","2,887,448.44","1,675,536.47","205,085.20","463,676.69","408,948.15","1,339,772.39","2,957,374.41","103,917.86","430,701.21","604,539.09","888,293.33","21,017,309.64"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"33,673.48","15,153.14","23,299.57",908.37,735.00,0.00,"2,671.08",0.00,"36,959.33",0.00,903.38,16.26,0.00,"114,319.62"
5120 Contingencias por avales y fianzas,"145,153.12","109,045.04","90,883.38","16,650.96","8,460.01","6,360.85","3,625.57","10,727.03","79,115.13",0.00,"17,953.65",0.00,"5,561.37","493,536.11"
5131 Compromisos por operaciones en moneda extranjera,"14,939.16",0.00,0.00,0.00,15.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,955.00"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"193,765.75","124,198.18","114,182.95","17,559.33","9,210.86","6,360.85","6,296.65","10,727.03","116,074.46",0.00,"18,857.03",16.26,"5,561.37","622,810.73"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,542,435.80","3,827,544.53","3,001,631.39","1,693,095.81","214,296.06","470,037.53","415,244.80","1,350,499.42","3,073,448.87","103,917.86","449,558.24","604,555.35","893,854.70","21,640,120.38"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
