Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Mayo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
Total pasivos,"5,071,182.78","3,531,905.69","2,704,054.79","1,863,842.70","212,340.68","402,579.76","1,202,861.07","2,847,974.90","127,508.38","525,102.08","705,708.85","964,447.67","20,159,509.34"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"524,362.52","360,123.52","316,596.24","147,649.22","41,749.26","46,062.61","105,129.60","308,320.17","25,806.90","67,676.30","110,053.98","99,250.87","2,152,781.20"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","97,418.76","30,000.00","28,311.68","70,788.87","161,000.44","20,333.67","50,000.00","102,270.00","90,000.00","1,302,325.26"
3130 Reservas de capital,"162,513.85","90,187.82","126,153.65","26,879.52","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,101.83","1,921.78","483,466.53"
3140 Resultados por aplicar,"64,348.66","65,233.87","40,442.59","23,350.94","7,597.24","13,636.95","17,407.29","107,069.62","1,768.43","15,122.57","3,682.16","7,329.09","366,989.41"
314001 Resultados de ejercicios anteriores,"8,052.28","44,242.41","24,259.42","15,602.20","5,680.09","10,494.53","14,829.43","89,647.43",0.44,"12,700.64",0.00,"4,622.99","230,131.84"
314002 Resultados del presente ejercicio,"56,296.38","20,991.46","16,183.18","7,748.74","1,917.15","3,142.43","2,577.86","17,422.19","1,767.99","2,421.92","3,682.16","2,706.10","136,857.57"
32 Patrimonio restringido,"67,112.85","61,592.28","26,764.71","31,195.04","1,358.42","14,812.04","17,097.54","26,483.36","6,723.53","3,728.36","8,181.24","11,167.00","276,216.36"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,374.16","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,687.37"
3230 Recuperaciones de activos castigados,0.00,123.09,747.65,"4,642.53",0.00,0.00,365.17,625.36,0.00,0.00,37.00,51.50,"6,592.29"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"30,019.56","4,854.20","6,561.39","4,645.36",0.00,"3,980.78","3,053.58","3,938.49",0.60,156.36,"2,141.30","4,945.36","64,296.97"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"591,475.36","421,715.80","343,360.95","178,844.26","43,107.68","60,874.65","122,227.14","334,803.53","32,530.43","71,404.66","118,235.23","110,417.87","2,428,997.56"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,662,658.14","3,953,621.49","3,047,415.74","2,042,686.96","255,448.35","463,454.41","1,325,088.21","3,182,778.43","160,038.80","596,506.74","823,944.08","1,074,865.55","22,588,506.89"
 ,,,,,,,,,,,,,
