Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Abril de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
2220 Cuentas por pagar,"61,513.72","50,313.67","22,290.30","5,352.59","1,440.78","20,635.93","4,824.69","10,196.02","31,370.79","1,341.71","30,697.58","7,649.33","1,453.65","249,080.78"
2230 Retenciones,"1,692.31","2,712.90","4,488.32",380.58,113.54,180.21,111.08,"1,080.13","1,154.41",322.71,149.92,230.81,401.47,"13,018.40"
2240 Provisiones,"22,767.45","13,703.72","6,059.08","4,141.32","1,636.60","3,651.22",486.93,"3,481.78","9,318.27","1,055.68",322.58,305.50,"2,105.54","69,035.67"
224003 Otras provisiones,"6,906.94",846.55,0.00,423.33,166.65,11.31,0.00,"1,432.85","4,117.36",364.26,34.04,0.00,"1,006.23","15,309.52"
2250 Créditos diferidos,"12,952.97","5,363.26","12,852.42","1,445.08",148.63,"4,754.47",71.45,"4,202.79","6,050.33",0.00,586.84,226.12,306.31,"48,960.68"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,423.68",0.00,0.00,0.00,0.00,0.00,"30,423.68"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,423.68",0.00,0.00,0.00,0.00,0.00,"30,423.68"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,423.68",0.00,0.00,0.00,0.00,0.00,"30,423.68"
Total pasivos,"4,960,197.68","3,167,096.58","2,579,517.16","1,297,165.36","244,536.36","374,587.01","379,211.16","1,215,602.75","2,604,275.96","58,402.55","387,040.45","505,756.82","703,905.48","18,477,295.31"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"509,097.74","352,472.85","271,548.29","107,299.62","42,160.05","35,704.00","56,243.29","91,587.61","255,849.04","23,963.55","35,623.08","54,459.70","62,672.44","1,898,681.27"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","19,057.46","51,598.94","70,788.87","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,253,415.52"
3130 Reservas de capital,"178,150.72","90,187.82","109,621.29","28,791.35","3,724.30","2,736.48","3,752.14","15,309.09","40,250.11","3,032.91","1,227.76",117.31,946.82,"477,848.10"
3140 Resultados por aplicar,"33,447.02","57,583.19","11,927.00","5,073.97","8,435.75","13,910.06",892.21,"5,489.65","54,598.49",596.96,"4,395.32","-25,657.60","-3,274.38","167,417.64"
314001 Resultados de ejercicios anteriores,84.50,"49,192.41","3,549.58",25.00,"7,017.59","12,410.31",73.02,"3,167.41","43,256.84",0.00,"2,877.67","-26,663.20","-4,351.34","90,639.77"
314002 Resultados del presente ejercicio,"33,362.52","8,390.78","8,377.43","5,048.97","1,418.16","1,499.76",819.19,"2,322.24","11,341.66",596.96,"1,517.65","1,005.60","1,076.96","76,777.87"
32 Patrimonio restringido,"109,043.22","71,930.29","42,465.07","35,284.53","4,502.37","13,884.75","3,142.57","33,130.25","35,544.81","2,221.66","4,424.99","1,081.13","15,029.90","371,685.55"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","21,881.24","4,463.49",0.00,"2,410.80","26,034.39","27,863.74","2,211.09","4,350.27",906.64,"6,036.64","223,418.44"
3220 Revaluaciones,"9,850.58","14,158.79","4,346.84","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,"2,230.16","45,690.58"
3230 Recuperaciones de activos castigados,0.00,142.95,"1,143.52","2,446.22",0.00,0.00,39.97,572.29,"1,280.26",0.00,0.00,0.00,41.02,"5,666.23"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"49,578.43","4,870.36","12,086.98","5,994.77",38.88,"3,742.83",691.79,"6,523.57","6,400.81",10.57,74.72,174.49,"6,689.39","96,877.60"
Total patrimonio,"618,140.96","424,403.14","314,013.37","142,584.15","46,662.42","49,588.75","59,385.86","124,717.86","291,393.85","26,185.21","40,048.07","55,540.83","77,702.34","2,270,366.82"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,578,338.64","3,591,499.72","2,893,530.52","1,439,749.51","291,198.78","424,175.76","438,597.02","1,340,320.61","2,895,669.81","84,587.76","427,088.52","561,297.65","781,607.82","20,747,662.13"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"26,123.19","21,950.92","17,015.92","10,267.35",818.47,0.00,"8,990.25",62.51,"31,773.89",0.00,832.69,17.92,0.00,"117,853.11"
5120 Contingencias por avales y fianzas,"147,116.34","156,702.04","86,589.33","15,589.20","7,838.26","6,372.55","4,472.65","9,692.46","74,115.88",0.00,"13,988.00",0.00,"6,799.63","529,276.35"
5131 Compromisos por operaciones en moneda extranjera,"3,679.69",0.00,0.00,0.00,452.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,132.04"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"176,919.22","178,652.96","103,605.25","25,856.55","9,109.08","6,372.55","13,462.90","9,754.97","105,889.77",0.00,"14,820.69",17.92,"6,799.63","651,261.50"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,755,257.86","3,770,152.68","2,997,135.77","1,465,606.06","300,307.86","430,548.31","452,059.92","1,350,075.59","3,001,559.58","84,587.76","441,909.21","561,315.57","788,407.45","21,398,923.62"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
