Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Junio de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
224003 Otras provisiones,"10,933.22",159.31,0.00,736.57,179.59,0.32,"1,490.48","3,947.38",856.30,68.01,0.00,801.95,"19,173.13"
2250 Créditos diferidos,"18,960.49","31,804.41","14,323.52",908.08,55.29,"5,632.32","2,752.65","9,391.62",338.89,818.64,"1,080.75",53.79,"86,120.45"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,322.63",0.00,0.00,0.00,0.00,0.00,"30,558.09",0.00,0.00,0.00,0.00,0.00,"100,880.72"
241 deuda subordinada a plazo fijo,"70,322.63",0.00,0.00,0.00,0.00,0.00,"30,558.09",0.00,0.00,0.00,0.00,0.00,"100,880.72"
2413 deuda subordinada a cinco o mas años,"70,322.63",0.00,0.00,0.00,0.00,0.00,"30,558.09",0.00,0.00,0.00,0.00,0.00,"100,880.72"
Total pasivos,"5,061,421.59","3,537,794.02","2,701,115.66","1,852,127.82","177,471.12","402,885.40","1,215,879.14","2,880,030.97","125,515.12","529,560.04","708,385.46","978,066.32","20,170,252.67"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"535,062.22","364,482.59","319,695.97","150,570.86","42,143.42","47,307.38","105,828.36","302,272.52","25,956.83","68,246.75","110,563.78","99,759.19","2,171,889.86"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","97,418.76","30,000.00","28,311.68","70,788.87","161,000.44","20,333.67","50,000.00","102,270.00","90,000.00","1,302,325.26"
3130 Reservas de capital,"162,513.85","90,187.82","126,153.65","26,879.52","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,101.83","1,921.78","483,466.53"
3140 Resultados por aplicar,"75,048.36","69,592.93","43,542.32","26,272.58","7,991.41","14,881.73","18,106.05","101,021.98","1,918.36","15,693.01","4,191.95","7,837.41","386,098.07"
314001 Resultados de ejercicios anteriores,"8,497.35","44,191.22","24,241.30","15,607.46","5,680.09","10,494.53","14,827.73","79,670.21",0.45,"12,759.05",0.00,"4,623.73","220,593.10"
314002 Resultados del presente ejercicio,"66,551.01","25,401.71","19,301.02","10,665.12","2,311.32","4,387.20","3,278.32","21,351.76","1,917.91","2,933.96","4,191.95","3,213.68","165,504.97"
32 Patrimonio restringido,"66,634.10","61,576.71","27,548.35","31,214.29","1,358.42","14,864.64","16,659.26","26,242.71","6,723.52","3,669.95","8,240.90","11,045.54","275,778.39"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,374.46","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,687.66"
3230 Recuperaciones de activos castigados,0.00,140.21,744.94,"4,642.53",0.00,0.00,302.77,575.24,0.00,0.00,37.00,51.50,"6,494.19"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"29,540.82","4,821.52","7,347.45","4,664.61",0.00,"4,033.38","2,677.71","3,747.95",0.59,97.95,"2,200.95","4,823.90","63,956.81"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"601,696.32","426,059.30","347,244.32","181,785.15","43,501.84","62,172.02","122,487.62","328,515.23","32,680.35","71,916.69","118,804.68","110,804.73","2,447,668.25"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,663,117.90","3,963,853.31","3,048,359.98","2,033,912.97","220,972.96","465,057.42","1,338,366.76","3,208,546.20","158,195.47","601,476.74","827,190.14","1,088,871.05","22,617,920.92"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"18,774.18","24,286.95","9,504.12","2,926.28",0.00,0.00,208.50,"54,620.03",0.00,"1,226.52","2,696.76",0.00,"114,243.34"
5120 Contingencias por avales y fianzas,"86,528.68","69,844.91","112,292.42","19,655.92","5,284.33","5,714.75","10,633.15","99,376.14",0.00,"20,946.75","1,935.10","6,665.83","438,877.99"
5131 Compromisos por operaciones en moneda extranjera,"8,703.41",109.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,812.61"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"114,006.26","94,241.07","121,796.54","22,582.19","5,284.33","5,714.75","10,841.65","153,996.17",0.00,"22,173.28","4,631.86","6,665.83","561,933.93"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,777,124.17","4,058,094.38","3,170,156.52","2,056,495.17","226,257.29","470,772.18","1,349,208.41","3,362,542.37","158,195.47","623,650.01","831,822.00","1,095,536.88","23,179,854.85"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
