Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de abril de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
5120 Contingencias por avales y fianzas," 81,502.17 "," 64,820.93 "," 113,324.43 "," 12,440.49 "," 3,264.86 "," 5,732.38 "," 5,421.34 "," 58,698.85 ", -   ," 13,930.55 "," 2,173.83 ", -   ," 8,756.67 "," 370,066.51 ",
5130 Operaciones con instrumentos financieros derivados," 4,406.27 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,406.27 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , 323.89 , -   , -   , -   , -   , -   , -   , -   , -   , 323.89 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 96,794.18 "," 75,178.13 "," 124,864.84 "," 21,203.82 "," 3,588.75 "," 5,732.38 "," 5,421.34 "," 153,303.13 ", -   ," 15,110.27 "," 6,173.83 ", -   ," 8,756.67 "," 516,127.33 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,641,094.39 "," 4,525,409.09 "," 3,435,490.84 "," 2,336,749.42 "," 251,481.14 "," 520,080.54 "," 1,471,008.23 "," 3,997,105.46 "," 209,021.25 "," 902,773.91 "," 986,547.18 "," 274,752.04 "," 1,392,409.78 "," 26,943,923.26 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
