Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de junio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 3,916.69 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-168.48 , -   ," 31,063.43 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 144.27 , -   ,-128.22 , -   , -   , -   , 16.04 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 602,855.62 "," 472,425.42 "," 373,444.08 "," 220,226.44 "," 46,951.92 "," 74,623.25 "," 115,716.50 "," 385,139.48 "," 34,003.82 "," 106,946.24 "," 103,378.44 "," 39,272.27 "," 131,321.79 "," 2,706,305.26 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,333,250.02 "," 4,568,092.15 "," 3,392,172.11 "," 2,448,867.23 "," 207,415.25 "," 529,102.38 "," 1,480,069.86 "," 3,853,214.57 "," 218,542.57 "," 918,918.92 "," 990,293.41 "," 277,937.33 "," 1,397,123.62 "," 26,614,999.41 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 13,387.65 "," 10,893.76 "," 15,772.35 ", -   , -   , -   , 308.42 ," 81,328.52 ", -   ," 1,125.24 "," 4,369.38 ", -   , -   ," 127,185.33 ",
5120 Contingencias por avales y fianzas," 80,396.49 "," 63,670.96 "," 109,595.59 "," 12,073.19 "," 3,246.96 "," 5,732.38 "," 4,671.25 "," 59,489.06 ", -   ," 11,733.52 "," 2,512.81 ", -   ," 9,424.05 "," 362,546.27 ",
5130 Operaciones con instrumentos financieros derivados," 8,700.04 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,700.04 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , 312.51 , -   , -   , 49.48 , -   , -   , -   , -   , -   , -   , -   , -   , 361.99 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 102,484.19 "," 74,877.24 "," 125,367.94 "," 12,073.19 "," 3,296.43 "," 5,732.38 "," 4,979.68 "," 140,817.58 ", -   ," 12,858.76 "," 6,882.19 ", -   ," 9,424.05 "," 498,793.64 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,435,734.21 "," 4,642,969.39 "," 3,517,540.06 "," 2,460,940.42 "," 210,711.68 "," 534,834.75 "," 1,485,049.53 "," 3,994,032.15 "," 218,542.57 "," 931,777.68 "," 997,175.60 "," 277,937.33 "," 1,406,547.67 "," 27,113,793.05 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
