Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de octubre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
323 Otro resultado integral," 1,263.19 "," 13,481.86 "," 4,121.00 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-1,827.23 ", 37.91 , -   , -   ,-115.03 , -   ," 32,040.08 ",,
3230 Otro resultado integral de ejercicios anteriores," 1,263.19 "," 13,481.86 "," 4,121.00 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-2,151.89 ", 37.91 , -   , -   ,-115.03 , -   ," 31,715.42 ",,
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 324.66 , -   , -   , -   , -   , -   , 324.66 ,,
,,,,,,,,,,,,,,,,
Total Patrimonio," 637,435.17 "," 461,541.35 "," 368,489.29 "," 210,517.55 "," 42,990.17 "," 69,793.23 "," 118,310.11 "," 358,606.01 "," 35,875.37 "," 101,691.89 "," 101,980.71 "," 38,869.37 "," 129,634.22 "," 2,675,734.43 ",,
,,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 5,861,587.66 "," 4,144,436.30 "," 3,328,952.86 "," 2,222,974.81 "," 234,306.02 "," 491,158.22 "," 1,415,958.86 "," 3,617,291.08 "," 188,839.27 "," 736,054.65 "," 886,311.75 "," 256,816.57 "," 1,355,384.71 "," 24,740,072.78 ",,
,,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 12,768.11 "," 9,144.43 "," 5,151.10 ", 258.99 , -   , -   , 60.25 ," 62,887.08 ", -   ," 1,198.43 "," 5,696.79 ", -   , -   ," 97,165.19 ",,
5120 Contingencias por avales y fianzas," 82,128.66 "," 64,725.90 "," 137,427.83 "," 16,857.01 "," 2,857.15 "," 5,732.38 "," 7,339.83 "," 61,136.77 ", -   ," 16,303.67 "," 1,718.99 ", -   ," 8,615.88 "," 404,844.05 ",,
5130 Operaciones con instrumentos financieros derivados," 4,871.47 ", 0.00 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,871.47 ",,
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5180 Otras, -   , -   , -   , -   , 861.02 , -   , -   , -   , -   , -   , -   , -   , -   , 861.02 ,,
,,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 99,768.24 "," 73,870.33 "," 142,578.93 "," 17,116.00 "," 3,718.17 "," 5,732.38 "," 7,400.08 "," 124,023.85 ", -   ," 17,502.09 "," 7,415.78 ", -   ," 8,615.88 "," 507,741.73 ",,
,,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 5,961,355.90 "," 4,218,306.63 "," 3,471,531.79 "," 2,240,090.81 "," 238,024.19 "," 496,890.60 "," 1,423,358.94 "," 3,741,314.93 "," 188,839.27 "," 753,556.75 "," 893,727.53 "," 256,816.57 "," 1,364,000.59 "," 25,247,814.51 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
