Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de enero de 2025,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,047.10 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,793.73 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,063.16 ",,
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 4,047.10 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-150.14 , -   ," 31,212.17 ",,
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   ,-29.56 , -   ,-119.45 , -   , -   , -   ,-149.02 ,,
,,,,,,,,,,,,,,,,
Total Patrimonio," 669,915.35 "," 480,036.81 "," 375,667.94 "," 213,544.05 "," 44,416.23 "," 71,597.30 "," 120,039.80 "," 363,289.83 "," 35,521.86 "," 103,604.68 "," 103,799.00 "," 39,647.21 "," 130,155.12 "," 2,751,235.19 ",,
,,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,175,944.80 "," 4,254,598.45 "," 3,363,592.47 "," 2,248,372.07 "," 200,708.81 "," 491,522.89 "," 1,445,511.44 "," 3,813,177.95 "," 198,349.51 "," 798,527.04 "," 903,762.89 "," 269,316.46 "," 1,319,997.36 "," 25,483,382.11 ",,
,,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 27,813.53 "," 9,514.56 "," 10,445.62 ", 525.75 , -   , -   , 33.44 ," 94,488.18 ", -   ," 1,180.09 "," 4,175.19 ", -   , -   ," 148,176.36 ",,
5120 Contingencias por avales y fianzas," 80,786.71 "," 62,306.04 "," 136,971.88 "," 17,027.94 "," 2,930.27 "," 5,732.38 "," 6,878.21 "," 57,139.79 ", -   ," 16,876.93 "," 2,129.78 ", -   ," 8,757.37 "," 397,537.31 ",,
5130 Operaciones con instrumentos financieros derivados," 8,859.90 ", 78.17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,938.06 ",,
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5180 Otras, -   , -   , -   , -   , 42.59 , -   , -   , -   , -   , -   , -   , -   , -   , 42.59 ,,
,,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 117,460.14 "," 71,898.77 "," 147,417.49 "," 17,553.70 "," 2,972.86 "," 5,732.38 "," 6,911.65 "," 151,627.97 ", -   ," 18,057.02 "," 6,304.97 ", -   ," 8,757.37 "," 554,694.32 ",,
,,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,293,404.94 "," 4,326,497.22 "," 3,511,009.97 "," 2,265,925.76 "," 203,681.67 "," 497,255.26 "," 1,452,423.09 "," 3,964,805.92 "," 198,349.51 "," 816,584.06 "," 910,067.86 "," 269,316.46 "," 1,328,754.73 "," 26,038,076.44 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
