Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de marzo de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2230 Retenciones y aportaciones patronales," 5,212.93 "," 4,049.60 "," 3,355.87 ", 650.71 , 170.42 , 216.04 ," 1,878.31 "," 2,789.39 ", 310.65 , 410.74 , 408.98 , 137.88 , 948.70 ," 20,540.22 ",
224 Otros pasivos," 36,758.85 "," 12,131.29 "," 10,510.21 "," 3,321.10 "," 2,195.06 "," 3,072.59 "," 4,591.54 "," 15,615.83 ", 765.86 , 819.36 , 415.45 ," 1,288.12 "," 2,724.47 "," 94,209.73 ",
2240 Provisiones," 36,758.85 "," 12,131.29 "," 10,510.21 "," 3,321.10 "," 2,195.06 "," 3,072.59 "," 4,591.54 "," 15,615.83 ", 765.86 , 819.36 , 415.45 ," 1,288.12 "," 2,724.47 "," 94,209.73 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 10,917.51 "," 24,651.31 "," 13,773.51 "," 1,149.82 ", 34.71 ," 4,893.78 "," 2,194.63 "," 13,637.60 ", 614.20 ," 1,427.11 "," 1,124.08 ", 216.08 , -   ," 74,634.34 ",
2250 Pasivos diferidos," 10,917.51 "," 24,651.31 "," 13,773.51 "," 1,149.82 ", 34.71 ," 4,893.78 "," 2,194.63 "," 13,637.60 ", 614.20 ," 1,427.11 "," 1,124.08 ", 216.08 , -   ," 74,634.34 ",
Total Pasivos," 5,832,433.26 "," 3,887,634.63 "," 2,928,567.44 "," 2,112,942.09 "," 164,338.79 "," 432,707.79 "," 1,331,915.77 "," 3,416,540.68 "," 173,472.22 "," 764,259.42 "," 860,301.81 "," 234,616.50 "," 1,220,988.47 "," 23,360,718.86 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 498,809.32 "," 394,334.19 "," 334,138.76 "," 173,893.27 "," 41,079.62 "," 58,961.79 "," 98,948.84 "," 344,650.71 "," 29,823.61 "," 100,396.01 "," 88,870.82 "," 34,291.80 "," 117,868.98 "," 2,316,067.72 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 544,918.62 ",
3140 Resultados por aplicar," 41,847.82 "," 99,444.53 "," 11,989.46 "," 22,138.54 "," 13,579.62 "," 12,286.73 "," 4,548.32 "," 143,400.16 "," 1,933.00 "," 26,069.18 "," 2,818.48 "," 7,991.69 ", 830.72 ," 388,878.23 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 66,376.05 "," 60,533.15 "," 32,183.51 "," 42,024.78 "," 4,353.64 "," 13,735.31 "," 14,486.00 "," 30,915.93 "," 2,813.26 "," 4,513.51 "," 11,551.20 "," 3,831.92 "," 12,532.19 "," 299,850.46 ",
3210 Utilidades no distribuibles," 65,280.37 "," 46,945.91 "," 28,199.27 "," 37,469.49 "," 4,306.75 "," 2,904.05 "," 15,561.23 "," 32,608.97 "," 2,774.99 "," 4,632.96 "," 11,551.20 "," 3,982.05 "," 12,499.49 "," 268,716.75 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 3,984.25 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,693.03 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,101.01 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 3,984.25 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-150.14 , -   ," 31,149.32 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 71.14 , -   ,-119.45 , -   , -   , -   ,-48.32 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 565,185.37 "," 454,867.34 "," 366,322.28 "," 215,918.04 "," 45,433.26 "," 72,697.11 "," 113,434.84 "," 375,566.64 "," 32,636.87 "," 104,909.52 "," 100,422.02 "," 38,123.72 "," 130,401.17 "," 2,615,918.18 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,397,618.63 "," 4,342,501.97 "," 3,294,889.72 "," 2,328,860.14 "," 209,772.05 "," 505,404.90 "," 1,445,350.61 "," 3,792,107.31 "," 206,109.09 "," 869,168.93 "," 960,723.83 "," 272,740.21 "," 1,351,389.64 "," 25,976,637.03 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 20,214.90 "," 10,139.64 "," 10,494.42 "," 8,740.46 ", -   , -   , -   ," 91,194.73 ", -   ," 1,180.00 "," 4,258.91 ", -   , -   ," 146,223.07 ",
5120 Contingencias por avales y fianzas," 80,970.74 "," 63,838.19 "," 110,975.25 "," 16,251.78 "," 2,791.77 "," 5,732.38 "," 5,420.12 "," 57,798.07 ", -   ," 14,027.80 "," 2,173.83 ", -   ," 8,756.67 "," 368,736.61 ",
5130 Operaciones con instrumentos financieros derivados," 8,952.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,952.24 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , 6.99 , -   , -   , -   , -   , -   , -   , -   , -   , 6.99 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 110,137.89 "," 73,977.82 "," 121,469.68 "," 24,992.24 "," 2,798.76 "," 5,732.38 "," 5,420.12 "," 148,992.81 ", -   ," 15,207.80 "," 6,432.74 ", -   ," 8,756.67 "," 523,918.91 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,507,756.52 "," 4,416,479.79 "," 3,416,359.39 "," 2,353,852.37 "," 212,570.82 "," 511,137.27 "," 1,450,770.73 "," 3,941,100.12 "," 206,109.09 "," 884,376.73 "," 967,156.57 "," 272,740.21 "," 1,360,146.32 "," 26,500,555.94 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
