Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de julio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,406,255.34 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,406,255.34 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 21,315.92 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 535,883.04 ",
3140 Resultados por aplicar," 85,182.36 "," 123,048.99 "," 21,692.13 "," 14,841.77 "," 15,717.94 "," 14,865.74 "," 7,761.64 "," 155,221.17 "," 3,805.92 "," 28,782.21 "," 6,628.79 "," 9,634.32 "," 5,024.29 "," 492,207.28 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 74,650.94 "," 60,420.42 "," 31,880.40 "," 39,068.02 "," 4,353.74 "," 13,608.03 "," 14,371.38 "," 30,766.95 "," 2,825.78 "," 4,588.36 "," 11,528.34 "," 3,880.67 "," 12,840.52 "," 304,783.56 ",
3210 Utilidades no distribuibles," 73,555.27 "," 46,833.18 "," 27,880.80 "," 34,512.74 "," 4,306.85 "," 2,776.77 "," 15,446.61 "," 32,520.56 "," 2,787.51 "," 4,716.59 "," 11,528.34 "," 4,049.16 "," 12,807.82 "," 273,722.20 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 3,999.60 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,753.62 ", 38.27 ,-128.22 , -   ,-168.48 , -   ," 31,028.66 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 3,999.60 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-168.48 , -   ," 31,146.33 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 10.56 , -   ,-128.22 , -   , -   , -   ,-117.67 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 616,794.80 "," 478,359.07 "," 375,721.84 "," 220,613.41 "," 47,571.68 "," 75,148.83 "," 116,533.54 "," 387,238.66 "," 34,522.31 "," 107,697.40 "," 104,209.49 "," 39,815.12 "," 134,903.07 "," 2,739,129.21 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,400,806.35 "," 4,567,839.77 "," 3,464,899.24 "," 2,410,144.52 "," 216,395.62 "," 533,206.18 "," 1,484,097.51 "," 3,862,496.35 "," 226,884.35 "," 927,570.91 "," 961,353.35 "," 292,455.89 "," 1,390,971.40 "," 26,739,121.44 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 15,830.00 "," 11,036.46 "," 14,827.04 ", -   , -   , -   , 408.46 ," 84,670.00 ", -   ," 1,275.83 "," 4,101.83 ", -   , -   ," 132,149.61 ",
5120 Contingencias por avales y fianzas," 90,833.00 "," 64,670.51 "," 111,141.68 "," 12,042.12 "," 3,245.69 "," 5,732.38 "," 4,783.33 "," 59,632.46 ", -   ," 15,942.79 "," 3,220.30 ", -   ," 9,303.35 "," 380,547.61 ",
5130 Operaciones con instrumentos financieros derivados," 8,417.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,417.08 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , 74.52 , -   , -   , -   , -   , -   , -   , -   , -   , 74.52 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 115,080.08 "," 75,706.97 "," 125,968.72 "," 12,042.12 "," 3,320.21 "," 5,732.38 "," 5,191.79 "," 144,302.46 ", -   ," 17,218.62 "," 7,322.13 ", -   ," 9,303.35 "," 521,188.83 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,515,886.43 "," 4,643,546.74 "," 3,590,867.95 "," 2,422,186.64 "," 219,715.83 "," 538,938.56 "," 1,489,289.30 "," 4,006,798.81 "," 226,884.35 "," 944,789.54 "," 968,675.48 "," 292,455.89 "," 1,400,274.75 "," 27,260,310.27 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
