Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de diciembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
32 Patrimonio restringido," 63,873.15 "," 60,198.66 "," 31,959.52 "," 41,376.81 "," 4,353.64 "," 13,522.95 "," 14,498.30 "," 30,745.49 "," 2,813.77 "," 4,373.36 "," 11,595.75 "," 3,841.83 "," 12,616.12 "," 295,769.34 ",,
3210 Utilidades no distribuibles," 62,777.48 "," 46,611.42 "," 27,916.00 "," 36,821.53 "," 4,306.75 "," 2,691.69 "," 15,573.53 "," 32,509.67 "," 2,775.50 "," 4,492.81 "," 11,595.75 "," 3,991.97 "," 12,583.42 "," 264,647.50 ",,
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,043.52 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,089.14 ",,
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,481.86 "," 4,043.52 "," 4,962.30 ", 46.89 ," 10,831.26 ","-1,075.23 ","-2,151.89 ", 38.27 , -   , -   ,-150.14 , -   ," 31,122.52 ",,
3231 Otro resultado integral del presente ejercicio, -   , 105.38 , -   ,-407.02 , -   , -   , -   , 387.72 , -   ,-119.45 , -   , -   , -   ,-33.38 ,,
,,,,,,,,,,,,,,,,
Total Patrimonio," 656,827.37 "," 474,866.34 "," 373,483.41 "," 211,682.70 "," 43,469.82 "," 70,840.03 "," 119,219.21 "," 362,064.58 "," 35,435.43 "," 102,934.70 "," 103,210.75 "," 39,445.79 "," 129,877.74 "," 2,723,357.88 ",,
,,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,072,455.49 "," 4,236,142.90 "," 3,360,640.16 "," 2,278,466.45 "," 239,318.65 "," 493,305.22 "," 1,458,916.89 "," 3,699,125.23 "," 204,900.89 "," 769,808.42 "," 890,387.61 "," 269,110.86 "," 1,307,300.58 "," 25,279,879.36 ",,
,,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 25,607.02 "," 10,529.73 "," 4,151.31 ", 393.01 , -   , -   , 33.44 ," 92,347.76 ", -   ," 1,167.91 "," 5,188.22 ", -   , -   ," 139,418.39 ",,
5120 Contingencias por avales y fianzas," 81,273.24 "," 63,020.90 "," 138,788.21 "," 17,135.23 "," 3,264.50 "," 5,732.38 "," 6,641.90 "," 54,985.75 ", -   ," 18,001.16 "," 2,129.78 ", -   ," 8,757.37 "," 399,730.41 ",,
5130 Operaciones con instrumentos financieros derivados," 8,297.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,297.24 ",,
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5180 Otras, -   , -   , -   , -   , 723.49 , -   , -   , -   , -   , -   , -   , -   , -   , 723.49 ,,
,,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 115,177.49 "," 73,550.63 "," 142,939.52 "," 17,528.24 "," 3,987.99 "," 5,732.38 "," 6,675.34 "," 147,333.50 ", -   ," 19,169.07 "," 7,318.00 ", -   ," 8,757.37 "," 548,169.52 ",,
,,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,187,632.98 "," 4,309,693.53 "," 3,503,579.68 "," 2,295,994.69 "," 243,306.63 "," 499,037.60 "," 1,465,592.23 "," 3,846,458.74 "," 204,900.89 "," 788,977.49 "," 897,705.61 "," 269,110.86 "," 1,316,057.95 "," 25,828,048.89 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
