Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de julio de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones,,
Total pasivo + total patrimonio,"5,900,245.1","4,140,734.7","3,180,792.6","2,223,666.9","225,360.8","481,975.8","1,414,413.0","3,498,984.9","191,362.1","731,114.3","885,418.6","1,279,215.7","24,153,284.4",,
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"30,355.0","8,979.5","5,016.2",130.0,0.0,0.0,274.2,"53,303.9",0.0,"1,405.9","6,640.4",0.0,"106,105.0",,
5120 Contingencias por avales y fianzas,"82,809.5","64,999.3","131,565.7","18,916.1","4,606.2","5,732.4","7,124.7","60,040.2",0.0,"18,387.9","1,681.5","8,984.7","404,848.2",,
5130 Operaciones con instrumentos financieros derivados,"9,281.4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9,281.4",,
5140 Procesos judiciales abiertos contra la entidad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5180 Otras,0.0,0.0,0.0,0.0,277.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.3,,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias,"122,445.9","73,978.7","136,581.8","19,046.1","4,883.4","5,732.4","7,398.9","113,344.1",0.0,"19,793.8","8,321.9","8,984.7","520,511.9",,
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias,"6,022,691.1","4,214,713.4","3,317,374.4","2,242,713.1","230,244.2","487,708.2","1,421,811.9","3,612,329.0","191,362.1","750,908.1","893,740.5","1,288,200.4","24,673,796.3",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
