Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de agosto de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
5120 Contingencias por avales y fianzas," 82,966.78 "," 66,809.96 "," 129,430.77 "," 18,113.74 "," 4,531.61 "," 5,732.38 "," 6,983.06 "," 60,083.15 ", -   ," 18,013.66 "," 1,759.56 ", -   ," 8,976.52 "," 403,401.20 ",,
5130 Operaciones con instrumentos financieros derivados," 9,281.43 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,281.43 ",,
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5180 Otras, -   , -   , -   , -   , 1.63 , -   , -   , -   , -   , -   , -   , -   , -   , 1.63 ,,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Total de compromisos y contingencias," 114,898.50 "," 74,825.26 "," 137,276.99 "," 18,113.74 "," 4,533.24 "," 5,732.38 "," 7,317.50 "," 113,020.48 ", -   ," 19,525.56 "," 8,338.41 ", -   ," 8,976.52 "," 512,558.58 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,148,655.20 "," 4,185,318.84 "," 3,391,586.11 "," 2,237,559.01 "," 232,893.05 "," 484,718.81 "," 1,420,978.69 "," 3,649,977.56 "," 192,453.24 "," 745,323.67 "," 907,572.35 "," 259,188.48 "," 1,291,706.98 "," 25,147,932.00 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
