Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  28 de febrero de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 66,863.28 "," 60,601.27 "," 30,926.28 "," 42,140.81 "," 4,353.64 "," 13,773.07 "," 14,490.13 "," 30,869.04 "," 2,813.76 "," 4,533.64 "," 11,542.16 "," 3,835.65 "," 12,541.93 "," 299,284.66 ",
3210 Utilidades no distribuibles," 65,767.60 "," 47,014.03 "," 26,906.39 "," 37,585.53 "," 4,306.75 "," 2,941.81 "," 15,565.36 "," 32,602.31 "," 2,775.49 "," 4,653.09 "," 11,542.16 "," 3,985.78 "," 12,509.23 "," 268,155.55 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,019.89 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,733.27 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,096.41 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 4,019.89 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-150.14 , -   ," 31,184.96 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 30.91 , -   ,-119.45 , -   , -   , -   ,-88.55 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 556,263.89 "," 448,142.17 "," 361,794.53 "," 214,532.74 "," 45,093.58 "," 72,145.49 "," 112,638.00 "," 365,394.79 "," 35,728.72 "," 104,218.39 "," 99,984.18 "," 39,828.30 "," 130,217.99 "," 2,585,982.78 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,285,600.77 "," 4,278,344.55 "," 3,298,701.90 "," 2,281,962.88 "," 200,634.50 "," 498,690.28 "," 1,432,106.16 "," 3,794,798.56 "," 198,949.67 "," 832,116.17 "," 916,313.08 "," 277,750.01 "," 1,350,579.07 "," 25,646,547.59 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 22,500.54 "," 9,909.50 "," 10,795.81 ", 182.06 , -   , -   , -   ," 90,465.01 ", -   ," 1,080.45 "," 4,320.39 ", -   , -   ," 139,253.75 ",
5120 Contingencias por avales y fianzas," 80,667.66 "," 62,566.33 "," 118,931.26 "," 16,282.48 "," 2,898.99 "," 5,732.38 "," 6,722.71 "," 58,902.34 ", -   ," 13,814.85 "," 2,173.83 ", -   ," 8,757.37 "," 377,450.20 ",
5130 Operaciones con instrumentos financieros derivados," 8,952.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,952.24 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , 19.01 , -   , -   , -   , -   , -   , -   , -   , -   , 19.01 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 112,120.44 "," 72,475.83 "," 129,727.07 "," 16,464.54 "," 2,918.00 "," 5,732.38 "," 6,722.71 "," 149,367.35 ", -   ," 14,895.30 "," 6,494.22 ", -   ," 8,757.37 "," 525,675.20 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,397,721.21 "," 4,350,820.37 "," 3,428,428.97 "," 2,298,427.42 "," 203,552.50 "," 504,422.65 "," 1,438,828.87 "," 3,944,165.90 "," 198,949.67 "," 847,011.47 "," 922,807.30 "," 277,750.01 "," 1,359,336.44 "," 26,172,222.80 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
