Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"643,034.56","442,980.61","358,444.98","189,880.88","36,196.76","64,015.34","125,710.70","342,835.03","33,434.70","74,895.89","123,426.60","116,713.93","2,551,569.97"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,766,101.25","4,074,623.95","3,116,104.47","2,282,682.73","245,029.14","470,235.14","1,399,504.21","3,303,596.78","175,181.92","671,286.24","868,985.02","1,211,022.95","23,584,353.81"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"6,563.36","28,299.61","10,123.85","1,545.79",0.00,0.00,125.00,"59,210.71",0.00,"1,444.94","2,306.38",0.00,"109,619.63"
5120 Contingencias por avales y fianzas,"89,884.47","77,400.42","130,084.90","23,604.31","5,450.08","5,710.46","6,701.18","64,663.34",0.00,"20,130.78","1,996.53","8,265.72","433,892.19"
5131 Compromisos por operaciones en moneda extranjera,"8,436.48",0.00,0.00,0.00,895.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,331.72"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"104,884.32","105,700.03","140,208.75","25,150.10","6,345.31","5,710.46","6,826.18","123,874.04",0.00,"21,575.72","4,302.90","8,265.72","552,843.54"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,870,985.57","4,180,323.97","3,256,313.22","2,307,832.83","251,374.46","475,945.60","1,406,330.39","3,427,470.82","175,181.92","692,861.96","873,287.92","1,219,288.68","24,137,197.35"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
